                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.56508,                 1.0193,                  1.158,                0.73783,                0.78742,                0.80935,                0.70168,                0.57649,                0.89742,                 1.2517,             0.00011092,             0.00011092,             0.00011092
                     75,                0.56841,                 1.0054,                 1.1614,                0.77568,                0.74883,                0.80834,                0.70309,                0.56083,                0.91444,                  1.239,             0.00010696,             0.00010696,             0.00010696
                     76,                0.55712,                0.97929,                 1.1515,                0.79628,                0.74692,                0.79111,                0.68922,                0.56974,                0.94819,                 1.2375,               0.000103,               0.000103,               0.000103
                     77,                0.55615,                0.95862,                 1.1495,                0.78903,                0.74094,                0.79951,                0.69334,                0.56264,                0.93486,                 1.2295,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.54694,                 0.9568,                 1.1471,                0.81193,                 0.7393,                 0.8085,                0.70068,                0.57573,                0.92771,                 1.2477,              9.508e-05,              9.508e-05,              9.508e-05
                     79,                0.54642,                0.95004,                 1.1403,                0.80113,                 0.7345,                0.80015,                0.69554,                0.56459,                 0.9067,                 1.2266,              9.112e-05,              9.112e-05,              9.112e-05
                     80,                0.54908,                0.95015,                  1.147,                0.78359,                0.75937,                 0.7975,                0.69745,                 0.5568,                0.92111,                 1.2245,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                0.54909,                0.95289,                 1.1466,                0.78395,                0.74749,                0.80595,                0.70387,                0.55855,                0.90341,                 1.2284,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                0.54548,                0.95499,                 1.1418,                0.79869,                0.74999,                0.80194,                0.70082,                0.56371,                0.92077,                 1.2238,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                0.52976,                0.93037,                 1.1312,                0.80163,                0.76141,                 0.8083,                0.70352,                0.56442,                0.91812,                 1.2353,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.53539,                0.92824,                  1.136,                0.81358,                0.74739,                0.80087,                0.70086,                0.55779,                0.91673,                 1.2262,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                 0.5286,                0.89552,                 1.1333,                0.79827,                0.75468,                 0.8098,                 0.7107,                0.55838,                0.89724,                 1.2246,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                 0.5251,                0.91072,                 1.1258,                 0.7966,                0.74717,                0.80202,                 0.7034,                0.57155,                0.91627,                 1.2375,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.52711,                 0.9116,                 1.1314,                0.81557,                0.77627,                0.81227,                0.70926,                0.57133,                 0.9002,                 1.2368,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.51911,                0.89738,                 1.1239,                0.81118,                0.74615,                0.80698,                0.70748,                0.55845,                0.89772,                 1.2213,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.52509,                0.88906,                 1.1251,                0.78788,                0.76647,                0.80697,                0.70118,                0.56985,                0.90026,                 1.2341,              5.152e-05,              5.152e-05,              5.152e-05
                     90,                 0.5261,                  0.886,                 1.1278,                0.74896,                0.80298,                 0.8168,                0.71363,                0.55985,                0.87471,                 1.2314,              4.756e-05,              4.756e-05,              4.756e-05
                     91,                0.42759,                0.78445,                 1.1152,                0.74501,                0.79932,                 0.8093,                0.70264,                0.57368,                0.90712,                 1.2294,               4.36e-05,               4.36e-05,               4.36e-05
                     92,                0.39723,                0.66778,                 1.0873,                0.80451,                0.75065,                0.80529,                0.70455,                0.55588,                0.88238,                 1.2213,              3.964e-05,              3.964e-05,              3.964e-05
                     93,                 0.4052,                0.67007,                 1.0981,                0.80944,                0.75922,                0.80966,                0.71347,                0.54655,                0.86697,                 1.2063,              3.568e-05,              3.568e-05,              3.568e-05
                     94,                0.38757,                0.63539,                 1.0786,                0.77284,                0.78702,                0.81371,                0.71249,                0.54874,                0.87626,                 1.2065,              3.172e-05,              3.172e-05,              3.172e-05
                     95,                0.38678,                0.64263,                 1.0812,                0.81551,                0.75158,                0.81328,                0.71147,                0.54454,                0.86626,                 1.1976,              2.776e-05,              2.776e-05,              2.776e-05
                     96,                0.39209,                0.61952,                 1.0802,                0.80157,                0.76495,                0.81371,                0.71483,                0.54531,                 0.8591,                 1.2006,               2.38e-05,               2.38e-05,               2.38e-05
                     97,                0.38365,                0.62265,                 1.0783,                0.81279,                 0.7596,                0.81702,                0.71881,                0.54627,                0.85237,                 1.2029,              1.984e-05,              1.984e-05,              1.984e-05
                     98,                0.37537,                0.59146,                 1.0661,                0.82113,                0.74911,                0.81859,                 0.7185,                0.53789,                0.84357,                 1.1986,              1.588e-05,              1.588e-05,              1.588e-05
                     99,                 0.3668,                0.60095,                 1.0575,                0.82732,                0.74496,                0.81685,                0.71927,                0.53878,                0.85265,                 1.2027,              1.192e-05,              1.192e-05,              1.192e-05
                    100,                0.36346,                0.59692,                 1.0571,                  0.823,                0.76092,                0.81639,                0.71952,                0.54164,                0.84549,                 1.2003,               7.96e-06,               7.96e-06,               7.96e-06
