                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.62696,                0.58875,                 1.1631,                0.90779,                0.89617,                0.94251,                0.74742,                0.80571,                0.56218,                 1.2546,             0.00013665,             0.00013665,             0.00013665
                     64,                0.62091,                0.58628,                 1.1628,                0.90878,                0.89821,                0.94005,                0.74704,                0.80949,                0.55022,                  1.277,             0.00013324,             0.00013324,             0.00013324
                     65,                0.62903,                 0.5757,                 1.1704,                0.91598,                0.89477,                0.94538,                0.75191,                0.80443,                0.55726,                 1.2611,             0.00012982,             0.00012982,             0.00012982
                     66,                0.62675,                0.58119,                  1.165,                0.91216,                0.89933,                0.94591,                 0.7538,                0.79818,                0.54831,                 1.2531,             0.00012641,             0.00012641,             0.00012641
                     67,                0.62481,                0.57129,                 1.1649,                 0.8993,                0.90476,                0.94073,                0.74715,                0.79648,                0.56498,                 1.2681,             0.00012299,             0.00012299,             0.00012299
                     68,                0.61922,                0.57287,                 1.1614,                0.88573,                0.91688,                0.94551,                0.75279,                0.79092,                0.55553,                 1.2472,             0.00011958,             0.00011958,             0.00011958
                     69,                0.62999,                0.56729,                 1.1633,                0.90655,                0.91166,                0.94547,                0.74928,                0.79673,                0.54722,                 1.2549,             0.00011616,             0.00011616,             0.00011616
                     70,                0.61179,                0.55845,                 1.1551,                0.91004,                0.88666,                0.94258,                0.74787,                 0.8083,                0.55821,                 1.2649,             0.00011275,             0.00011275,             0.00011275
                     71,                0.61235,                0.55018,                 1.1567,                0.90482,                0.90198,                0.94691,                0.74935,                0.80406,                0.54844,                 1.2708,             0.00010933,             0.00010933,             0.00010933
                     72,                0.60513,                0.55257,                 1.1466,                0.89899,                0.90457,                0.94248,                 0.7494,                0.79871,                0.53935,                 1.2549,             0.00010592,             0.00010592,             0.00010592
                     73,                0.60138,                 0.5458,                 1.1477,                0.89471,                0.90615,                0.94507,                 0.7522,                0.79189,                0.54171,                 1.2485,              0.0001025,              0.0001025,              0.0001025
                     74,                0.60628,                0.55239,                  1.146,                0.89148,                0.90856,                0.94581,                0.75474,                0.80206,                0.55211,                  1.262,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     75,                0.60611,                0.55221,                 1.1471,                0.89478,                0.91684,                0.94588,                0.75619,                0.79759,                0.54533,                 1.2636,             9.5669e-05,             9.5669e-05,             9.5669e-05
                     76,                0.60597,                0.54234,                 1.1481,                0.89704,                0.90536,                0.94579,                0.75341,                0.79836,                 0.5558,                 1.2608,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     77,                0.59922,                0.52954,                 1.1433,                0.89868,                0.91361,                0.94482,                0.75339,                 0.8006,                0.53426,                  1.262,             8.8837e-05,             8.8837e-05,             8.8837e-05
                     78,                0.60007,                0.53746,                 1.1493,                0.89975,                0.90299,                0.94426,                0.75634,                0.79707,                0.53994,                 1.2523,             8.5422e-05,             8.5422e-05,             8.5422e-05
                     79,                0.59396,                0.52707,                 1.1419,                0.90653,                0.90098,                0.94764,                0.75472,                0.80462,                0.53909,                 1.2693,             8.2006e-05,             8.2006e-05,             8.2006e-05
