                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.29789,                0.57725,                0.42535,                0.99137,                0.82349,                0.76582,                0.83167,                0.74473,                0.82983,                 0.7448,                0.81692,                0.72614,                0.49611,                 1.2034,                0.82044,                 1.1446,               5.35e-05,               5.35e-05,               5.35e-05
                     72,                0.27832,                 0.5084,                0.38895,                 0.9708,                0.82251,                0.77514,                0.82384,                0.74473,                0.80805,                0.76189,                0.81184,                0.72307,                0.48894,                 1.1979,                0.82538,                 1.1473,              4.855e-05,              4.855e-05,              4.855e-05
                     73,                0.27835,                0.51395,                0.38053,                0.97235,                0.81903,                0.77059,                 0.8222,                0.74095,                0.83283,                0.73793,                0.81122,                0.72272,                0.48832,                 1.2008,                0.82666,                  1.149,               4.36e-05,               4.36e-05,               4.36e-05
                     74,                0.26782,                0.49353,                0.36602,                0.96875,                0.79151,                0.78114,                0.82808,                0.74671,                0.78381,                 0.7518,                0.80885,                0.72278,                0.49003,                 1.2239,                0.84353,                 1.1476,              3.865e-05,              3.865e-05,              3.865e-05
                     75,                0.26129,                0.47258,                 0.3479,                0.96116,                0.80851,                0.77095,                0.82796,                0.74976,                0.79321,                0.75534,                0.81026,                0.72625,                0.49385,                 1.2106,                0.83698,                 1.1493,               3.37e-05,               3.37e-05,               3.37e-05
                     76,                0.26345,                0.47592,                0.34929,                0.96371,                0.83882,                0.76707,                0.82863,                0.74809,                0.83447,                0.74689,                0.81516,                0.72809,                0.48408,                 1.2231,                0.83546,                 1.1351,              2.875e-05,              2.875e-05,              2.875e-05
                     77,                0.25496,                0.45507,                0.34129,                0.95455,                0.81569,                 0.7884,                0.82952,                0.74663,                0.80046,                0.77188,                0.81524,                0.72611,                0.49096,                 1.2037,                0.83649,                 1.1456,               2.38e-05,               2.38e-05,               2.38e-05
                     78,                0.25374,                  0.456,                 0.3421,                0.95028,                0.81645,                0.78667,                0.82954,                0.75057,                0.79838,                0.77383,                0.81854,                0.73362,                0.48539,                 1.2078,                0.83687,                 1.1421,              1.885e-05,              1.885e-05,              1.885e-05
                     79,                0.25114,                0.46201,                0.33607,                0.95141,                0.83035,                0.77785,                0.82834,                 0.7461,                0.82055,                0.75746,                0.81302,                0.72795,                0.48249,                 1.2109,                 0.8374,                 1.1311,               1.39e-05,               1.39e-05,               1.39e-05
                     80,                0.24595,                0.44298,                0.32934,                0.95113,                0.81254,                0.78586,                0.82626,                0.75189,                0.81637,                0.75146,                0.81135,                 0.7316,                0.48191,                 1.2007,                0.84366,                  1.132,               8.95e-06,               8.95e-06,               8.95e-06
